id,rackTotCnt,stationLatitude,stationLongitude,distance_hanriver,distance_bikeroad,distance_subway,distance_school_mid,distance_school_high,distance_school_univ,PopTot
743,12,37.5,126.8,6218,3154,1547,363,293,1579,182252
744,12,37.53,126.9,966,4386,69,657,721,2565,156602
745,12,37.53,126.8,5894,4659,1188,905,1233,3197,123431
746,12,37.53,126.9,1620,5257,1190,431,561,2484,156602
747,12,37.53,126.9,1891,5539,1115,363,861,2461,156602
748,17,37.53,126.9,2251,5493,726,696,842,3020,156602
749,12,37.53,126.9,966,4678,603,338,263,3136,156602
750,12,37.5,126.8,6596,3699,1769,439,104,2232,182252
752,12,37.53,126.9,2965,5857,969,813,386,1083,156602
754,12,37.53,126.9,1518,4973,667,566,1037,2158,156602
755,12,37.53,126.9,1265,4923,728,130,232,2690,156602
257,12,37.5,126.94,1970,3486,338,702,383,1564,95641
264,17,37.53,126.9,2026,4258,520,467,768,1055,57848
259,19,37.5,126.94,1636,3726,56,609,931,2749,95641
260,17,37.53,126.94,936,4120,853,437,1543,2247,34598
230,12,37.53,126.9,1578,4467,138,536,1025,834,57848
288,12,37.53,126.9,1368,4890,384,682,642,1283,57848
238,12,37.53,126.9,1267,4609,461,773,1087,759,57848
756,12,37.53,126.9,2669,5256,249,316,806,3122,156602
757,12,37.5,126.8,7172,4179,1779,635,630,2962,182252
758,12,37.5,126.9,4638,3750,827,345,672,2129,182252
759,11,37.53,126.8,5782,4874,1140,961,1442,3058,123431
760,12,37.5,126.9,6221,2895,1379,218,283,1308,182252
762,12,37.53,126.9,2720,5011,154,474,602,3357,156602
763,12,37.5,126.9,4904,3306,611,660,234,1706,182252
764,32,37.53,126.9,2505,5697,722,538,1060,2744,156602
765,12,37.53,126.9,2825,5100,30,350,812,3254,156602
766,17,37.53,126.9,903,4301,16,712,767,2617,156602
767,10,37.5,126.8,6881,3028,1466,613,718,1690,182252
768,15,37.53,126.9,1400,5095,1074,275,475,2821,156602
769,20,37.53,126.9,2731,5434,372,209,855,2937,156602
770,10,37.53,126.9,3622,5046,51,696,237,2719,156602
771,8,37.53,126.9,3086,5668,540,256,582,2677,156602
773,10,37.53,126.9,1698,4748,40,517,1151,1816,156602
774,11,37.56,126.9,2082,4905,198,227,558,1157,156602
775,10,37.53,126.9,3347,6056,1360,815,124,1428,156602
776,15,37.53,126.9,903,4600,679,263,443,2996,156602
777,10,37.53,126.8,5459,5611,1057,582,1135,2679,123431
779,10,37.53,126.9,4835,4154,168,369,746,2483,182252
780,15,37.53,126.9,3225,4258,870,708,583,3228,182252
781,10,37.53,126.9,3235,4372,778,586,600,3218,182252
782,20,37.5,126.8,7219,3757,2018,661,193,2734,182252
785,15,37.53,126.9,3956,4182,550,609,732,2651,182252
786,9,37.53,126.9,3610,4568,714,276,427,3378,182252
787,10,37.5,126.9,4868,3088,566,162,233,1600,182252
788,15,37.5,126.9,4345,3640,14,527,623,2151,182252
790,40,37.53,126.9,4351,5131,552,314,1088,2388,123431
791,15,37.53,126.9,3261,5380,476,336,323,2979,156602
792,20,37.53,126.9,3148,5367,398,228,435,2981,156602
793,15,37.53,126.9,1838,5530,969,625,818,2724,156602
794,10,37.53,126.9,4231,4049,551,661,933,2469,182252
795,10,37.53,126.9,4209,3968,408,755,862,2414,182252
796,10,37.5,126.9,3755,4361,604,240,256,2702,182252
797,10,37.5,126.9,3682,4371,672,651,284,2776,182252
812,22,37.53,127,2052,4714,421,1042,1214,958,8412
802,12,37.53,127,2136,2654,156,886,1064,1903,23704
803,12,37.53,127,1784,2414,275,814,1230,2254,23704
805,11,37.53,127,2166,5397,364,782,710,1171,31348
810,12,37.53,127,2747,3945,409,496,1006,830,11836
807,12,37.56,127,3893,5524,284,1011,724,956,8412
808,12,37.53,127,1274,3956,156,450,934,3523,14102
809,12,37.53,127,1073,2132,176,978,1012,3177,23704
811,22,37.53,127,2375,4032,110,830,643,1050,11836
827,22,37.53,127,2852,4614,731,474,418,161,11836
